ISO639-3	Family
aar	Afro-Asiatic|Cushitic|East|Saho-Afar|B.3|Zaar Proper|2
ach	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Western|Luo|Southern|Luo-Acholi|Alur-Acholi|Lango-Acholi
ada	Niger-Congo|Atlantic-Congo|Volta-Congo|Kwa|Nyo|Ga-Dangme|Mina|B|North-South|Ubaghara-Kohumono|Ubaghara
ade	Niger-Congo|Atlantic-Congo|Volta-Congo|Kwa|Nyo|Potou-Tano|Basila-Adele|B|North-South|Ubaghara-Kohumono|Ubaghara
afr	Indo-European|Germanic|West|Low Saxon-Low Franconian|Low Franconian
agq	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Wide Grassfields|Narrow Grassfields|Ring|West
aiw	Afro-Asiatic|Omotic|South|Mao|Gonga|South|Ometo|West
aka	Niger-Congo|Atlantic-Congo|Volta-Congo|Kwa|Nyo|Potou-Tano|Tano|Central|Akan|Ubaghara-Kohumono|Ubaghara
alz	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Western|Luo|Southern|Luo-Acholi|Alur-Acholi|Alur
amh	Afro-Asiatic|Semitic|South|Ethiopian|South|Transversal|Amharic-Argobba|West
anu	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Western|Luo|Northern|Anuak
anw	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Cross River|Delta Cross|Lower Cross|Obolo|Efik|West
apd	Afro-Asiatic|Semitic|Central|South|Arabic|Mandaic|Northwestern|West
axk	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|C|Ngondi
bad	Niger-Congo|Atlantic-Congo|Savanna|Ubangian|Banda
bai	Niger–Congo|Atlantic–Congo|Volta-Congo|Benue–Congo|Bantoid|Southern Bantoid|Grassfields|Eastern Grassfields|Mbam-Nkam|Bamileke
bam	Niger-Congo|Mande|Western|Central-Southwestern|Central|Manding-Jogo|Manding-Vai|Manding-Mokole|Manding|Manding-East|Northeastern Manding|Bamana
bas	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Northwest|A|Basaa
bax	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Wide Grassfields|Narrow Grassfields|Mbam-Nkam|Nun
bba	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Gur|Bariba|Zande|Zande-Nzakara|Sere-Bviri|Ndogo-Sere|Monzombo|Vere
bbe	Niger-Congo|Atlantic-Congo|Volta-Congo|North|Adamawa-Ubangi|Ubangi|Sere-Ngbaka-Mba|Ngbaka-Mba|Ngbaka|Eastern|Mayogo-Bangba|Vere
bci	Niger-Congo|Atlantic-Congo|Volta-Congo|Kwa|Nyo|Potou-Tano|Tano|Central|Bia|Northern|Ubaghara
bdh	Nilo-Saharan|Satellite-Core|Satellites|Central Sudanic|West|Bongo-Bagirmi|Bongo-Baka|Baka|Kacipo-Balesi|Tennet|Luo|Lango-Acholi
bdm	Afro-Asiatic|Chadic|Biu-Mandara|B|B.1|Buduma|Podoko
bds	Afro-Asiatic|Cushitic|South|Yaaku|B.3|Zaar Proper|2
bej	Afro-Asiatic|Cushitic|North|Yaaku|B.3|Zaar Proper|2
bem	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|M|Bemba
bho	Indo-European|Indo-Iranian|Indo-Aryan|Outer Languages|Eastern|Bihari
bib	Niger-Congo|Mande|Eastern|Eastern|Bissa|Rere|Utoro|Kirma-Tyurama|Western|Southeast|Dagaari-Birifor|Dagaari
bif	Niger-Congo|Atlantic-Congo|Atlantic|Northern|Eastern Senegal-Guinea|Tenda|Jola Proper|Kwatay|Jola-Kasa
bin	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Edoid|North-Central|Edo-Esan-Ora|Kiong-Korop|North-South|Ubaghara-Kohumono|Ubaghara
bum	Niger–Congo|Atlantic–Congo|Volta-Congo|Benue–Congo|Bantoid|Southern Bantoid|Bantu (Zone A)|Beti|Bulu
bob	Afro-Asiatic|Cushitic|East|Rendille-Boni|B.3|Zaar Proper|2
bpi	Afro-Asiatic|Chadic|Biu–Mandara|Wandala–Mafa|Wandala (A.4)|Parkwa
