defined_class	defined_class_label	parent_class_label	population_size	xref
AfPO:0000025	Malawi	Eastern Africa	1.91 million	
AfPO:0000056	Maasai	Nilotic Eastern	0.9 millions	https://en.wikipedia.org/wiki/Maasai_language
AfPO:0000056	Maasai	Nilotic Eastern	0.9 millions	https://en.wikipedia.org/wiki/Maasai_people
AfPO:0000400	Basoga	Bantu Eastern	2.9	https://en.wikipedia.org/wiki/Busoga
AfPO:0000507	Sihanaka@en	Malagasy	200000	https://en.wikipedia.org/wiki/Sihanaka
AfPO:0000316	Guinea-Bissau	Western Africa	1.79 millions	
AfPO:0000374	Acholi	Luo	2 Millions	https://en.wikipedia.org/wiki/Acholi_people
AfPO:0000571	Kango	Pygmy Central	12500	https://en.wikipedia.org/wiki/Kango_people
AfPO:0000494	Pokomo@en	Bantu Eastern	112075	https://en.wikipedia.org/wiki/Pokomo_people
AfPO:0000066	Taveta	Bantu Eastern	0.026 millions	https://en.wikipedia.org/wiki/Taveta_people
AfPO:0000066	Taveta	Bantu Eastern	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|E	https://en.wikipedia.org/wiki/Taveta_people
AfPO:0000128	Fang	Bantu Central	1 million	https://en.wikipedia.org/wiki/Fang_people
AfPO:0000388	Sidama	Cushitic Eastern	Afro-Asiatic|Cushitic|East|Highland	https://en.wikipedia.org/wiki/Sidama_people
AfPO:0000388	Sidama	Cushitic Eastern	>3 millions	https://en.wikipedia.org/wiki/Sidama_people
AfPO:0000523	Anaang@en	Western African	2.6 million	https://en.wikipedia.org/wiki/Anaang_people
AfPO:0000171	Tamil	Eastern African	0.055 millions	https://en.wikipedia.org/wiki/Tamil_Mauritian
AfPO:0000015	Rwanda	Eastern Africa	11.9 millions	
AfPO:0000241	Bongo	Sudanic	Nilo-Saharan|Satellite-Core|Satellites|Central Sudanic|West|Bongo-Bagirmi|Bongo-Baka|Bongo|Kacipo-Balesi|Tennet|Luo|Lango-Acholi	https://en.wikipedia.org/wiki/Bongo_people_(South_Sudan)
AfPO:0000371	Nilotic Eastern	Eastern African	>22 millions	https://en.wikipedia.org/wiki/Nilotic_peoples
AfPO:0000320	Nigeria	Western Africa	190.63 millions	
AfPO:0000109	Tugen	Kalenjin	197556	https://en.wikipedia.org/wiki/Tugen_people
AfPO:0000561	Sherbro@en	Western African	134606	https://en.wikipedia.org/wiki/Sherbro_people
AfPO:0000198	Luo	Nilotic Eastern	Nilo-Saharan, Luo, River-Lake	https://en.wikipedia.org/wiki/Luo_peoples
AfPO:0000506	Mikea@en	Malagasy	1500	https://en.wikipedia.org/wiki/Mikea_people
AfPO:0000315	Guinea	Western Africa	12.4 millions	
AfPO:0000231	Mozabite	Berber Northern	0.150 million	https://en.wikipedia.org/wiki/Mozabite_people
