defined_class	defined_class_label	population_size	wiki	parent_class_label
AfPO:0000466	Myene@en	117030	https://fr.wikipedia.org/wiki/Myènè_(peuple)	Bantu Central
AfPO:0000333	Khoisan South	0.4 millions	https://en.wikipedia.org/wiki/Khoisan	San, Khoekhoe
AfPO:0000242	Chipeta	Niger-Congo|Atlantic-Congo|Volta-Congo|Benue-Congo|Bantoid|Southern|Narrow Bantu|Central|N|Chewa-Nyanja		Bantu Eastern
AfPO:0000378	Lango	2.2 millions	https://en.wikipedia.org/wiki/Lango_people_(South_Sudan)	Luo
AfPO:0000168	Bihari Mauritian	1.2 millions	https://en.wikipedia.org/wiki/Bihari_Mauritian	Eastern African
AfPO:0000095	Anuak	Nilo-Saharan|Satellite-Core|Core|Eastern Sudanic|Southern|Nilotic|Western|Luo|Northern	https://en.wikipedia.org/wiki/Anuak_people	Luo
AfPO:0000369	Bantu Eastern		https://en.wikipedia.org/wiki/Bantu_peoples	Eastern African
AfPO:0000265	Nilotic Central			Central African
AfPO:0000252	Zafimaniry	0.015 million	https://en.wikipedia.org/wiki/Zafimaniry	Betsileo
AfPO:0000486	Chopi@en	760000	https://en.wikipedia.org/wiki/Chopi_people	Bantu Eastern
AfPO:0000515	Jeberti@en		https://en.wikipedia.org/wiki/Jeberti_people	Semitic Eastern
AfPO:0000231	Mozabite	0.150 million	https://en.wikipedia.org/wiki/Mozabite_people	Berber Northern
AfPO:0000504	Antanosy@en	772000	https://en.wikipedia.org/wiki/Antanosy_people	Malagasy
AfPO:0000364	Tunisian Berber			Berber Northern
AfPO:0000401	Chaga	2 millions	https://en.wikipedia.org/wiki/Chaga_people	Bantu Eastern
AfPO:0000216	Nuba	>1.07 million	https://en.wikipedia.org/wiki/Nuba_peoples	Eastern African
AfPO:0000334	Taa			San
AfPO:0000399	Sandawe	0.06 million	https://en.wikipedia.org/wiki/Sandawe_people	Khoisan Eastern
AfPO:0000344	Tonga	2 millions	https://en.wikipedia.org/wiki/Tonga_people_(Malawi)	Bantu Southern, Bantu Eastern
AfPO:0000392	Gurage	1.9 millions	https://en.wikipedia.org/wiki/Gurage_people	Semitic Eastern
AfPO:0000548	Kulango@en	311500	https://fr.wikipedia.org/wiki/Koulango_(peuple)	Western African
AfPO:0000578	Ndzwani	365,900		Swahili
AfPO:0000283	Baka_Cameroon	0.03 milion	https://en.wikipedia.org/wiki/Baka_people_(Cameroon_and_Gabon)	Pygmy Central
AfPO:0000353	South Ndebele	0.7 million	https://en.wikipedia.org/wiki/South_Ndebele_people	Ndebele
AfPO:0000529	Bassari@en	40800	https://en.wikipedia.org/wiki/Bassari_people	Western African
AfPO:0000487	Mbeere@en	195250	https://en.wikipedia.org/wiki/Mbeere_people	Embu
AfPO:0000336	Himba	0.05 million	https://en.wikipedia.org/wiki/Himba_people	Bantu Southern
AfPO:0000488	Kiga@en	3,420 Millions	https://en.wikipedia.org/wiki/Kiga_people	Bantu Eastern
AfPO:0000286	Sua			Western African, Pygmy Central
AfPO:0000376	Turkana	1,016 millions	https://en.wikipedia.org/wiki/Turkana_people	Nilotic Eastern
AfPO:0000292	Kongo	17 millions	https://en.wikipedia.org/wiki/Kongo_people	Bantu Central
AfPO:0000412	Bantu Western		https://en.wikipedia.org/wiki/Bantu_peoples	Western African
AfPO:0000247	Tsimihety	1.2 millions	https://en.wikipedia.org/wiki/Tsimihety_people	Malagasy
AfPO:0000214	Hadendoa		https://en.wikipedia.org/wiki/Hadendoa	Beja
AfPO:0000428	Wolof	4 millions	https://en.wikipedia.org/wiki/Wolof_people	Western African
AfPO:0000498	Aweer@en	20103	https://en.wikipedia.org/wiki/Aweer_people	Cushitic Eastern
AfPO:0000302	Gbaya	1.5 million	https://en.wikipedia.org/wiki/Gbaya_people	Ubangi Central
AfPO:0000307	Toubou	2.25 millions		Nilotic Eastern, Nilotic Western, Northern African, Nilotic Central
AfPO:0000345	Venda	1 million	https://en.wikipedia.org/wiki/Venda_people	Bantu Southern
AfPO:0000296	Mongo	>15 millions	https://en.wikipedia.org/wiki/Mongo_people	Bantu Central
AfPO:0000151	Gurma	3.3 millions	https://en.wikipedia.org/wiki/Gurma_people	Western African
AfPO:0000419	Eket	0.3 millions	https://en.wikipedia.org/wiki/Eket	Western African
AfPO:0000262	Sinwa	0.025 million	https://en.wikipedia.org/wiki/Chinois_(R%C3%A9union)	Eastern African
AfPO:0000123	Herero		https://en.wikipedia.org/wiki/Herero_people	Bantu Southern
